epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,377.995,1.52156,1.40678,1.19382,0.65046,0.62698,0.60087,0.35336,1.93996,1.71997,1.23736,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
62,384.126,1.558,1.40476,1.2289,0.70522,0.71986,0.76125,0.48745,1.74318,1.61938,1.17032,0.00299254,0.000997513,0.00299254,0.000997513,0.00299254,0.000997513,0.00299254,0.000997513
63,388.471,1.53825,1.4352,1.25101,0.70522,0.71986,0.76125,0.48745,1.74318,1.61938,1.17032,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
64,400.658,1.92101,1.61341,1.35744,0.70522,0.71986,0.76125,0.48745,1.74318,1.61938,1.17032,0.0029501,0.000983366,0.0029501,0.000983366,0.0029501,0.000983366,0.0029501,0.000983366
65,407.04,1.43587,1.42207,1.2511,0.70522,0.71986,0.76125,0.48745,1.74318,1.61938,1.17032,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
66,414.917,1.7418,1.55966,1.32059,0.86292,0.74603,0.80214,0.50006,1.74092,1.32421,1.16739,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219
67,423.512,1.73415,1.62396,1.37961,0.86292,0.74603,0.80214,0.50006,1.74092,1.32421,1.16739,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
68,429.796,1.72856,1.3905,1.17627,0.86292,0.74603,0.80214,0.50006,1.74092,1.32421,1.16739,0.00286522,0.000955072,0.00286522,0.000955072,0.00286522,0.000955072,0.00286522,0.000955072
69,439.908,1.85667,1.6602,1.37186,0.86292,0.74603,0.80214,0.50006,1.74092,1.32421,1.16739,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
70,451.844,1.54208,1.35542,1.17034,0.7889,0.71037,0.8069,0.48942,1.64216,1.27394,1.15122,0.00282278,0.000940925,0.00282278,0.000940925,0.00282278,0.000940925,0.00282278,0.000940925
71,454.259,1.51398,1.26305,1.05966,0.7889,0.71037,0.8069,0.48942,1.64216,1.27394,1.15122,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
72,461.908,1.60841,1.48263,1.23479,0.7889,0.71037,0.8069,0.48942,1.64216,1.27394,1.15122,0.00278033,0.000926778,0.00278033,0.000926778,0.00278033,0.000926778,0.00278033,0.000926778
